sample,correction,path_index,endpoint_index,x_pt,y_pt,E_V_RHE,I_signed_mA,I_cathodic_mA,eta_mV,area_cm2,j_cathodic_mA_cm2
treated_1cm2,corrected,91,0,431.03823427466716,84.10013804718199,0.0020753816831275973,-0.00024268406119329526,0.00024268406119329526,-2.0753816831275973,1,0.00024268406119329526
treated_1cm2,corrected,91,1,429.5798184530671,84.10013804718199,-0.0031133576280664155,-0.00024268406119329526,0.00024268406119329526,3.1133576280664155,1,0.00024268406119329526
treated_1cm2,corrected,91,2,428.2186303529071,84.10013804718199,-0.007956180985180583,-0.00024268406119329526,0.00024268406119329526,7.956180985180583,1,0.00024268406119329526
treated_1cm2,corrected,91,3,426.76021453130716,84.10013804718199,-0.013144920296374152,-0.00024268406119329526,0.00024268406119329526,13.144920296374153,1,0.00024268406119329526
treated_1cm2,corrected,91,4,425.39902643114715,84.10013804718199,-0.01798774365348843,-0.00024268406119329526,0.00024268406119329526,17.98774365348843,1,0.00024268406119329526
treated_1cm2,corrected,91,5,423.9406106095471,84.10013804718199,-0.023176482964682443,-0.00024268406119329526,0.00024268406119329526,23.176482964682442,1,0.00024268406119329526
treated_1cm2,corrected,91,6,422.67665023082714,84.10013804718199,-0.027673390367716877,-0.00024268406119329526,0.00024268406119329526,27.673390367716877,1,0.00024268406119329526
treated_1cm2,corrected,91,7,421.12100668778714,84.10013804718199,-0.03320804563299018,-0.00024268406119329526,0.00024268406119329526,33.20804563299018,1,0.00024268406119329526
treated_1cm2,corrected,91,8,419.75657766357915,84.10013804718199,-0.03806239952190704,-0.00024268406119329526,0.00024268406119329526,38.06239952190704,1,0.00024268406119329526
treated_1cm2,corrected,91,9,418.39538956341914,84.10013804718199,-0.04290522287902132,-0.00024268406119329526,0.00024268406119329526,42.90522287902132,1,0.00024268406119329526
treated_1cm2,corrected,91,10,416.9369737418191,84.10013804718199,-0.04809396219021522,-0.00024268406119329526,0.00024268406119329526,48.09396219021522,1,0.00024268406119329526
treated_1cm2,corrected,91,11,415.47855792021915,84.10013804718199,-0.0532827015014089,-0.00024268406119329526,0.00024268406119329526,53.2827015014089,1,0.00024268406119329526
treated_1cm2,corrected,91,12,414.2145975414991,84.10013804718199,-0.05777960890444367,-0.00024268406119329526,0.00024268406119329526,57.77960890444367,1,0.00024268406119329526
treated_1cm2,corrected,91,13,412.75618171989913,84.10013804718199,-0.06296834821563724,-0.00024268406119329526,0.00024268406119329526,62.968348215637235,1,0.00024268406119329526
treated_1cm2,corrected,91,14,411.2977658982991,84.10013804718199,-0.06815708752683125,-0.00024268406119329526,0.00024268406119329526,68.15708752683125,1,0.00024268406119329526
treated_1cm2,corrected,91,15,409.83935007669913,84.10013804718199,-0.07334582683802482,-0.00024268406119329526,0.00024268406119329526,73.34582683802482,1,0.00024268406119329526
